year_month,fuel_type,unit_price_type,unit_price,unit,row_number
2023-06,유류,열량단가,163579.25,원/GCAL,172
2023-06,유연탄,열량단가,53009.62,원/GCAL,171
2023-07,LNG,열량단가,112323.28,원/GCAL,170
2023-07,무연탄,열량단가,45628.57,원/GCAL,169
2023-07,원자력,열량단가,2539.85,원/GCAL,168
2023-07,유류,열량단가,163579.25,원/GCAL,167
2023-07,유연탄,열량단가,53009.62,원/GCAL,166
2023-08,LNG,열량단가,112323.28,원/GCAL,165
2023-08,무연탄,열량단가,45628.57,원/GCAL,164
2023-08,원자력,열량단가,2539.85,원/GCAL,163
2023-08,유류,열량단가,163579.25,원/GCAL,162
2023-08,유연탄,열량단가,53009.62,원/GCAL,161
2023-09,LNG,열량단가,112323.28,원/GCAL,160
2023-09,무연탄,열량단가,45628.57,원/GCAL,159
2023-09,원자력,열량단가,2539.85,원/GCAL,158
2023-09,유류,열량단가,163579.25,원/GCAL,157
2023-09,유연탄,열량단가,53009.62,원/GCAL,156
2023-10,LNG,열량단가,112323.28,원/GCAL,155
2023-10,무연탄,열량단가,45628.57,원/GCAL,154
2023-10,원자력,열량단가,2539.85,원/GCAL,153
2023-10,유류,열량단가,163579.25,원/GCAL,152
2023-10,유연탄,열량단가,53009.62,원/GCAL,151
2023-11,LNG,열량단가,112323.28,원/GCAL,150
2023-11,무연탄,열량단가,45628.57,원/GCAL,149
2023-11,원자력,열량단가,2539.85,원/GCAL,148
2023-11,유류,열량단가,163579.25,원/GCAL,147
2023-11,유연탄,열량단가,53009.62,원/GCAL,146
2023-12,LNG,열량단가,112323.28,원/GCAL,145
2023-12,무연탄,열량단가,45628.57,원/GCAL,144
2023-12,원자력,열량단가,2539.85,원/GCAL,143
2023-12,유류,열량단가,163579.25,원/GCAL,142
2023-12,유연탄,열량단가,53009.62,원/GCAL,141
2024-01,LNG,열량단가,112323.28,원/GCAL,140
2024-01,무연탄,열량단가,45628.57,원/GCAL,139
2024-01,원자력,열량단가,2539.85,원/GCAL,138
2024-01,유류,열량단가,163745.6,원/GCAL,137
2024-01,유연탄,열량단가,53009.62,원/GCAL,136
2024-02,LNG,열량단가,112323.28,원/GCAL,135
2024-02,무연탄,열량단가,45628.57,원/GCAL,134
2024-02,원자력,열량단가,2539.85,원/GCAL,133
2024-02,유류,열량단가,163745.6,원/GCAL,132
2024-02,유연탄,열량단가,53009.62,원/GCAL,131
2024-03,LNG,열량단가,112323.28,원/GCAL,130
2024-03,무연탄,열량단가,45628.57,원/GCAL,129
2024-03,원자력,열량단가,2539.85,원/GCAL,128
2024-03,유류,열량단가,163745.6,원/GCAL,127
2024-03,유연탄,열량단가,53009.62,원/GCAL,126
2024-04,LNG,열량단가,112323.28,원/GCAL,125
2024-04,무연탄,열량단가,45628.57,원/GCAL,124
2024-04,원자력,열량단가,2539.85,원/GCAL,123
2024-04,유류,열량단가,163745.6,원/GCAL,122
2024-04,유연탄,열량단가,53009.62,원/GCAL,121
2024-05,LNG,열량단가,112323.15,원/GCAL,120
2024-05,무연탄,열량단가,45628.57,원/GCAL,119
2024-05,원자력,열량단가,2539.85,원/GCAL,118
2024-05,유류,열량단가,166079.96,원/GCAL,117
2024-05,유연탄,열량단가,53009.62,원/GCAL,116
2024-06,LNG,열량단가,112323.15,원/GCAL,115
2024-06,무연탄,열량단가,45628.57,원/GCAL,114
2024-06,원자력,열량단가,2539.85,원/GCAL,113
2024-06,유류,열량단가,166079.96,원/GCAL,112
2024-06,유연탄,열량단가,53009.62,원/GCAL,111
2024-07,LNG,열량단가,112323.15,원/GCAL,110
2024-07,무연탄,열량단가,45628.57,원/GCAL,109
2024-07,원자력,열량단가,2539.85,원/GCAL,108
2024-07,유류,열량단가,166079.96,원/GCAL,107
2024-07,유연탄,열량단가,53009.62,원/GCAL,106
2024-08,LNG,열량단가,112323.15,원/GCAL,105
2024-08,무연탄,열량단가,45628.57,원/GCAL,104
2024-08,원자력,열량단가,2539.85,원/GCAL,103
2024-08,유류,열량단가,166079.96,원/GCAL,102
2024-08,유연탄,열량단가,53009.62,원/GCAL,101
2024-09,LNG,열량단가,112323.15,원/GCAL,100
2024-09,무연탄,열량단가,45628.57,원/GCAL,99
2024-09,원자력,열량단가,2539.85,원/GCAL,98
2024-09,유류,열량단가,166079.96,원/GCAL,97
2024-09,유연탄,열량단가,53009.62,원/GCAL,96
2024-10,LNG,열량단가,112323.15,원/GCAL,95
2024-10,무연탄,열량단가,45628.57,원/GCAL,94
2024-10,원자력,열량단가,2539.85,원/GCAL,93
2024-10,유류,열량단가,166079.96,원/GCAL,92
2024-10,유연탄,열량단가,53110.85,원/GCAL,91
2024-11,LNG,열량단가,112323.15,원/GCAL,90
2024-11,무연탄,열량단가,45628.57,원/GCAL,89
2024-11,원자력,열량단가,2539.85,원/GCAL,88
2024-11,유류,열량단가,166079.96,원/GCAL,87
2024-11,유연탄,열량단가,53110.85,원/GCAL,86
2024-12,LNG,열량단가,112323.15,원/GCAL,85
2024-12,무연탄,열량단가,45628.57,원/GCAL,84
2024-12,원자력,열량단가,2539.85,원/GCAL,83
2024-12,유류,열량단가,166079.96,원/GCAL,82
2024-12,유연탄,열량단가,53110.85,원/GCAL,81
2025-01,LNG,열량단가,112232.02,원/GCAL,80
2025-01,무연탄,열량단가,45628.57,원/GCAL,79
2025-01,원자력,열량단가,2539.85,원/GCAL,78
2025-01,유류,열량단가,166079.96,원/GCAL,77
2025-01,유연탄,열량단가,53110.85,원/GCAL,76
2025-02,LNG,열량단가,112232.02,원/GCAL,75
2025-02,무연탄,열량단가,45628.57,원/GCAL,74
2025-02,원자력,열량단가,2539.85,원/GCAL,73
2025-02,유류,열량단가,166079.96,원/GCAL,72
2025-02,유연탄,열량단가,53110.85,원/GCAL,71
2025-03,LNG,열량단가,112232.02,원/GCAL,70
2025-03,무연탄,열량단가,45628.57,원/GCAL,69
2025-03,원자력,열량단가,2539.85,원/GCAL,68
2025-03,유류,열량단가,166079.96,원/GCAL,67
2025-03,유연탄,열량단가,53110.85,원/GCAL,66
2025-04,LNG,열량단가,112232.02,원/GCAL,65
2025-04,무연탄,열량단가,45628.57,원/GCAL,64
2025-04,원자력,열량단가,2539.85,원/GCAL,63
2025-04,유류,열량단가,166079.96,원/GCAL,62
2025-04,유연탄,열량단가,53110.85,원/GCAL,61
2025-05,LNG,열량단가,112232.02,원/GCAL,60
2025-05,무연탄,열량단가,45628.57,원/GCAL,59
2025-05,원자력,열량단가,2539.85,원/GCAL,58
2025-05,유류,열량단가,166079.96,원/GCAL,57
2025-05,유연탄,열량단가,53110.85,원/GCAL,56
2025-06,LNG,열량단가,112232.02,원/GCAL,55
2025-06,무연탄,열량단가,45628.57,원/GCAL,54
2025-06,원자력,열량단가,2539.85,원/GCAL,53
2025-06,유류,열량단가,166079.96,원/GCAL,52
2025-06,유연탄,열량단가,53110.85,원/GCAL,51
2025-07,LNG,열량단가,112232.02,원/GCAL,50
2025-07,무연탄,열량단가,45628.57,원/GCAL,49
2025-07,원자력,열량단가,2539.85,원/GCAL,48
2025-07,유류,열량단가,166079.96,원/GCAL,47
2025-07,유연탄,열량단가,53110.85,원/GCAL,46
2025-08,LNG,열량단가,112232.02,원/GCAL,45
2025-08,무연탄,열량단가,45628.57,원/GCAL,44
2025-08,원자력,열량단가,2539.85,원/GCAL,43
2025-08,유류,열량단가,166079.96,원/GCAL,42
2025-08,유연탄,열량단가,53110.85,원/GCAL,41
2025-09,LNG,열량단가,112232.02,원/GCAL,40
2025-09,무연탄,열량단가,45628.57,원/GCAL,39
2025-09,원자력,열량단가,2539.85,원/GCAL,38
2025-09,유류,열량단가,166079.96,원/GCAL,37
2025-09,유연탄,열량단가,53110.85,원/GCAL,36
2025-10,LNG,열량단가,112232.02,원/GCAL,35
2025-10,무연탄,열량단가,45628.57,원/GCAL,34
2025-10,원자력,열량단가,2539.85,원/GCAL,33
2025-10,유류,열량단가,166079.96,원/GCAL,32
2025-10,유연탄,열량단가,53110.85,원/GCAL,31
2025-11,LNG,열량단가,112232.02,원/GCAL,30
2025-11,무연탄,열량단가,45628.57,원/GCAL,29
2025-11,원자력,열량단가,2539.85,원/GCAL,28
2025-11,유류,열량단가,166079.96,원/GCAL,27
2025-11,유연탄,열량단가,53110.85,원/GCAL,26
2025-12,LNG,열량단가,112232.02,원/GCAL,25
2025-12,무연탄,열량단가,45628.57,원/GCAL,24
2025-12,원자력,열량단가,2539.85,원/GCAL,23
2025-12,유류,열량단가,166079.96,원/GCAL,22
2025-12,유연탄,열량단가,53110.85,원/GCAL,21
2026-01,LNG,열량단가,112232.02,원/GCAL,20
2026-01,무연탄,열량단가,45628.57,원/GCAL,19
2026-01,원자력,열량단가,2539.85,원/GCAL,18
2026-01,유류,열량단가,166079.96,원/GCAL,17
2026-01,유연탄,열량단가,53104.54,원/GCAL,16
2026-02,LNG,열량단가,112232.02,원/GCAL,15
