row_number,market_area,company_name,generator_name,dispatch_type,generation_source,generation_form,fuel_type,capacity_mw
11633,비수도권,상천태양광발전소,상천태양광,비중앙,신재생에너지,태양광,태양광,0.099
11634,비수도권,온더로드 태양광발전소,온더로드태양광,비중앙,신재생에너지,태양광,태양광,0.099
11635,비수도권,와이피피쏠라(주),와이피피농원에너지2호,비중앙,신재생에너지,태양광,태양광,0.498
11636,비수도권,주식회사 코리아쏠라에너지,코리아쏠라에너지태양광,비중앙,신재생에너지,태양광,태양광,0.445
11637,비수도권,주식회사 위천솔라,위천솔라태양광,비중앙,신재생에너지,태양광,태양광,0.494
11638,비수도권,주식회사 강천2호 ,강천2호태양광,비중앙,신재생에너지,태양광,태양광,0.494
11639,비수도권,주식회사 강천1호,강천1호태양광,비중앙,신재생에너지,태양광,태양광,0.494
11640,비수도권,대명태양광발전소,대명태양광발전기,비중앙,신재생에너지,태양광,태양광,0.099
11641,비수도권,(주)티에스에너지19호,신정솔라2호태양광,비중앙,신재생에너지,태양광,태양광,2.0
11642,제주,혜진2호태양광발전소,혜진2호태양광,비중앙,신재생에너지,태양광,태양광,0.099
11643,제주,혜진1호태양광발전소,혜진1호태양광,비중앙,신재생에너지,태양광,태양광,0.098
11644,비수도권,에스에너지(주),서봉에너지태양광,비중앙,신재생에너지,태양광,태양광,0.912
11645,비수도권,성동13호 태양광발전소,성동13호태양광,비중앙,신재생에너지,태양광,태양광,0.099
11646,비수도권,성동8호 태양광발전소,성동8호태양광,비중앙,신재생에너지,태양광,태양광,0.099
11647,비수도권,(주)아폴로당진,강릉2호태양광,비중앙,신재생에너지,태양광,태양광,0.998
11648,비수도권,(주)아폴로당진,강릉1호태양광,비중앙,신재생에너지,태양광,태양광,1.45
11649,비수도권,전남개발공사,영암KIC태양광,비중앙,신재생에너지,태양광,태양광,2.998
11650,비수도권,행복태양광발전소,행복태양광발전,비중앙,신재생에너지,태양광,태양광,0.098
11651,비수도권,중덕태양광발전소,중덕태양광발전,비중앙,신재생에너지,태양광,태양광,0.098
11652,비수도권,에스지씨에너지(주)군산사업부문,SGC에너지 #2,비중앙,화력,기력,유연탄,30.54
11653,비수도권,에스지씨에너지(주)군산사업부문,"SGC에너지 #1(#1,#2,#5)",비중앙,화력,기력,유연탄,113.569
11654,비수도권,부산정관에너지(발전),SUPEXF태양광,비중앙,신재생에너지,태양광,태양광,0.826
11655,비수도권,테크노에너지(주),테크노태양광,비중앙,신재생에너지,태양광,태양광,1.197
11656,비수도권,엔와이태양광발전소,엔와이태양광,비중앙,신재생에너지,태양광,태양광,0.098
11657,비수도권,환경사랑 주식회사,사담리태양광발전소2호,비중앙,신재생에너지,태양광,태양광,2.001
11658,비수도권,에코솔라에너지 주식회사,사담리태양광발전소1호,비중앙,신재생에너지,태양광,태양광,2.001
11659,비수도권,와이즈솔라 주식회사,교성리태양광,비중앙,신재생에너지,태양광,태양광,2.001
11660,비수도권,나이스쏠라태양광발전소,나이스쏠라태양광,비중앙,신재생에너지,태양광,태양광,0.099
11661,비수도권,보국전자(주),보국전자태양광,비중앙,신재생에너지,태양광,태양광,0.245
11662,비수도권,주식회사 맥스에너지2호,맥스에너지2호,비중앙,신재생에너지,태양광,태양광,0.999
11663,비수도권,단비농원,단비발전소,비중앙,신재생에너지,태양광,태양광,0.7
11664,비수도권,은성쏠라 주식회사,은성쏠라4호태양광,비중앙,신재생에너지,태양광,태양광,1.297
11665,비수도권,송림리 태양광발전소,영광송림리태양광,비중앙,신재생에너지,태양광,태양광,0.099
11666,제주,새빛에너지 주식회사,새빛에너지태양광,비중앙,신재생에너지,태양광,태양광,0.946
11667,제주,새빛플랜트 주식회사,새빛플랜트태양광,비중앙,신재생에너지,태양광,태양광,0.985
11668,비수도권,한빛에너지,한빛에너지,비중앙,신재생에너지,태양광,태양광,0.994
11669,비수도권,동강태양광발전소,동강태양광,비중앙,신재생에너지,태양광,태양광,0.099
11670,비수도권,영동에너지 태양광발전소,영동에너지태양광,비중앙,신재생에너지,태양광,태양광,0.099
11671,비수도권,나래에너지 태양광발전소,나래에너지태양광,비중앙,신재생에너지,태양광,태양광,0.098
11672,비수도권,다이아몬드에너지 주식회사,에스플랜트6호태양광,비중앙,신재생에너지,태양광,태양광,0.675
11673,수도권,한국동서발전(주),일산연료전지#4,비중앙,신재생에너지,연료전지,연료전지,5.28
11674,제주,마루왓1호태양광발전소,마루왓1호태양광,비중앙,신재생에너지,태양광,태양광,0.099
11675,제주,마루왓4호태양광발전소,마루왓4호태양광,비중앙,신재생에너지,태양광,태양광,0.099
11676,비수도권,유니온쏠라에너지(주) ,유니온쏠라에너지태양광,비중앙,신재생에너지,태양광,태양광,0.392
11677,제주,와이솔라2호태양광발전소,와이솔라2호태양광발전소,비중앙,신재생에너지,태양광,태양광,0.099
11678,제주,와이솔라1호태양광발전소,와이솔라1호태양광발전소,비중앙,신재생에너지,태양광,태양광,0.099
11679,제주,효일1호태양광발전소,효일1호태양광,비중앙,신재생에너지,태양광,태양광,0.099
11680,비수도권,성두태양광발전소,성두태양광,비중앙,신재생에너지,태양광,태양광,0.098
11681,비수도권,엠제이태양광발전소,엠제이태양광,비중앙,신재생에너지,태양광,태양광,0.099
11682,비수도권,정승기1호태양광발전소,정승기1호태양광,비중앙,신재생에너지,태양광,태양광,0.099
11683,비수도권,주천행복발전소,주천행복태양광,비중앙,신재생에너지,태양광,태양광,0.099
11684,비수도권,남포전력태양광발전소,남포전력태양광,비중앙,신재생에너지,태양광,태양광,0.099
11685,제주,동희태양광발전소,동희태양광,비중앙,신재생에너지,태양광,태양광,0.099
11686,제주,지희태양광발전소,지희태양광,비중앙,신재생에너지,태양광,태양광,0.099
11687,제주,마루왓3호태양광발전소,마루왓3호태양광,비중앙,신재생에너지,태양광,태양광,0.099
11688,비수도권,하동광성에너지(주),하동광성에너지,비중앙,신재생에너지,태양광,태양광,0.996
11689,비수도권,백송태양광발전소,백송태양광발전기,비중앙,신재생에너지,태양광,태양광,0.099
11690,비수도권,대일화학,대일화학,비중앙,신재생에너지,태양광,태양광,1.495
11691,비수도권,(주)초곡태양광발전소,초곡태양광발전기,비중앙,신재생에너지,태양광,태양광,1.492
11692,비수도권,한국콜마 주식회사,오스템세종1호태양광발전기,비중앙,신재생에너지,태양광,태양광,1.556
11693,비수도권,에너지사랑 주식회사,윈체태양광,비중앙,신재생에너지,태양광,태양광,0.508
11694,비수도권,대리은하1호2호태양광발전소,대리은하2호태양광,비중앙,신재생에너지,태양광,태양광,0.099
11695,제주,태성1호태양광발전소,태성1호태양광,비중앙,신재생에너지,태양광,태양광,0.099
11696,비수도권,새금풍력태양광1호주식회사,유천SG태양광,비중앙,신재생에너지,태양광,태양광,2.032
11697,비수도권,새금풍력태양광1호주식회사,중봉SG태양광,비중앙,신재생에너지,태양광,태양광,0.994
11698,수도권,푸른하늘태양광발전소(주),늘푸른하늘태양광3호,비중앙,신재생에너지,태양광,태양광,0.972
11699,수도권,푸른하늘태양광발전소(주),늘푸른하늘태양광2호,비중앙,신재생에너지,태양광,태양광,0.703
