scenario,beta,rho_pv,rho_w,bid_mode,mean_smp_post,mean_delta_smp,max_decrease,max_increase,hours_down,hours_up,total_re_bid_MWh,total_cost,curtailment_MWh,curtailment_hours,max_curtailment_MW,smp_curt_corr
Case_A_zero,2.0,0.3,0.3,zero,52719.51954166667,37547.23166666667,-60000.0,641938.0,11,3,65215.0,1.41855408368e10,0.0,0,0.0,0.0
Case_B_floor,2.0,0.3,0.3,floor,52719.51954166667,37547.23166666667,-60000.0,641938.0,11,3,89085.0,-6.805916320000076e7,23870.0,6,6380.0,-0.7794963169517678
Case_C_mixed,2.0,0.3,0.3,mixed,52719.51954166667,37547.23166666667,-60000.0,641938.0,11,3,76929.0,6.346060836799999e9,11714.0,4,3779.9000000000015,-0.7001837513270368
Case_D_conservative,2.0,0.3,0.3,conservative,52719.51954166667,37547.23166666667,-60000.0,641938.0,11,3,76929.0,1.02658008368e10,11714.0,4,3779.9000000000015,-0.7001837513270368
