scenario,beta,rho_pv,rho_w,bid_mode,mean_smp_post,mean_delta_smp,max_decrease,max_increase,hours_down,hours_up,total_re_bid_MWh,total_cost,curtailment_MWh,curtailment_hours,max_curtailment_MW,smp_curt_corr
beta_1.5_mixed,1.5,0.3,0.3,mixed,52719.51954166667,37547.23166666667,-60000.0,641938.0,11,3,76929.0,8.305930836799999e9,11714.0,4,3779.9000000000015,-0.7001837513270368
beta_2.0_mixed,2.0,0.3,0.3,mixed,52719.51954166667,37547.23166666667,-60000.0,641938.0,11,3,76929.0,6.346060836799999e9,11714.0,4,3779.9000000000015,-0.7001837513270368
beta_2.5_mixed,2.5,0.3,0.3,mixed,52719.51954166667,37547.23166666667,-60000.0,641938.0,11,3,76929.0,4.386190836799999e9,11714.0,4,3779.9000000000015,-0.7001837513270368
