date,hour,mean_smp,p5_smp,p95_smp,smp_pre,mean_curtailment
2024-01-23,1,61890.262443681815,61890.262443681815,61890.262443681815,61890.262443681815,0.0
2024-01-23,2,61845.20202668183,61845.202026681814,61845.202026681814,61845.202026681814,0.0
2024-01-23,3,61845.20202668183,61845.202026681814,61845.202026681814,61845.202026681814,0.0
2024-01-23,4,61845.20202668183,61845.202026681814,61845.202026681814,61845.202026681814,0.0
2024-01-23,5,61845.20202668183,61845.202026681814,61845.202026681814,61845.202026681814,0.0
2024-01-23,6,61845.20202668183,61845.202026681814,61845.202026681814,61845.202026681814,0.0
2024-01-23,7,61890.262443681815,61890.262443681815,61890.262443681815,61890.262443681815,0.0
2024-01-23,8,61935.322860681816,61935.322860681816,61935.322860681816,61935.322860681816,0.0
2024-01-23,9,60000.0,60000.0,60000.0,60000.0,0.0
2024-01-23,10,60000.0,60000.0,60000.0,60000.0,0.0
2024-01-23,11,60000.0,60000.0,60000.0,60000.0,0.0
2024-01-23,12,60000.0,60000.0,60000.0,60000.0,0.0
2024-01-23,13,61935.322860681816,61935.322860681816,61935.322860681816,61935.322860681816,0.0
2024-01-23,14,60000.0,60000.0,60000.0,60000.0,0.0
2024-01-23,15,60000.0,60000.0,60000.0,60000.0,0.0
2024-01-23,16,60000.0,60000.0,60000.0,60000.0,0.0
2024-01-23,17,80049.927979,80049.927979,80049.927979,80049.927979,0.0
2024-01-23,18,80049.927979,80049.927979,80049.927979,80049.927979,0.0
2024-01-23,19,60000.0,60000.0,60000.0,60000.0,0.0
2024-01-23,20,60000.0,60000.0,60000.0,60000.0,0.0
2024-01-23,21,61935.322860681816,61935.322860681816,61935.322860681816,61935.322860681816,0.0
2024-01-23,22,61935.322860681816,61935.322860681816,61935.322860681816,61935.322860681816,0.0
2024-01-23,23,61935.322860681816,61935.322860681816,61935.322860681816,61935.322860681816,0.0
2024-01-23,24,61890.262443681815,61890.262443681815,61890.262443681815,61890.262443681815,0.0
2024-02-12,1,29396.047500833338,29396.047500833334,29396.047500833334,29396.047500833334,0.0
2024-02-12,2,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-02-12,3,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-02-12,4,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-02-12,5,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-02-12,6,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-02-12,7,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-02-12,8,29396.047500833338,29396.047500833334,29396.047500833334,29396.047500833334,0.0
2024-02-12,9,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-02-12,10,28860.193690833334,28860.193690833334,28860.193690833334,28860.193690833334,0.0
2024-02-12,11,28592.266785833337,28592.266785833333,28592.266785833333,28592.266785833333,0.0
2024-02-12,12,27012.27867316667,27012.278673166667,27012.278673166667,27012.278673166667,0.0
2024-02-12,13,22982.55533983333,22982.555339833332,22982.555339833332,22982.555339833332,0.0
2024-02-12,14,22982.55533983333,22982.555339833332,22982.555339833332,22982.555339833332,0.0
2024-02-12,15,27012.27867316667,27012.278673166667,27012.278673166667,27012.278673166667,0.0
2024-02-12,16,28592.266785833337,28592.266785833333,28592.266785833333,28592.266785833333,0.0
2024-02-12,17,28860.193690833334,28860.193690833334,28860.193690833334,28860.193690833334,0.0
2024-02-12,18,29396.047500833338,29396.047500833334,29396.047500833334,29396.047500833334,0.0
2024-02-12,19,60000.0,60000.0,60000.0,60000.0,0.0
2024-02-12,20,60000.0,60000.0,60000.0,60000.0,0.0
2024-02-12,21,60000.0,60000.0,60000.0,60000.0,0.0
2024-02-12,22,29396.047500833338,29396.047500833334,29396.047500833334,29396.047500833334,0.0
2024-02-12,23,29396.047500833338,29396.047500833334,29396.047500833334,29396.047500833334,0.0
2024-02-12,24,29396.047500833338,29396.047500833334,29396.047500833334,29396.047500833334,0.0
2024-03-05,1,60000.0,60000.0,60000.0,60000.0,0.0
2024-03-05,2,60000.0,60000.0,60000.0,60000.0,0.0
2024-03-05,3,29396.047500833338,29396.047500833334,29396.047500833334,29396.047500833334,0.0
2024-03-05,4,29396.047500833338,29396.047500833334,29396.047500833334,29396.047500833334,0.0
2024-03-05,5,29396.047500833338,29396.047500833334,29396.047500833334,29396.047500833334,0.0
2024-03-05,6,60000.0,60000.0,60000.0,60000.0,0.0
2024-03-05,7,60000.0,60000.0,60000.0,60000.0,0.0
2024-03-05,8,61845.20202668183,61845.202026681814,61845.202026681814,61845.202026681814,0.0
2024-03-05,9,61935.322860681816,61935.322860681816,61935.322860681816,61935.322860681816,0.0
2024-03-05,10,61935.322860681816,61935.322860681816,61935.322860681816,61935.322860681816,0.0
2024-03-05,11,61935.322860681816,61935.322860681816,61935.322860681816,61935.322860681816,0.0
2024-03-05,12,61935.322860681816,61935.322860681816,61935.322860681816,61935.322860681816,0.0
2024-03-05,13,61890.262443681815,61890.262443681815,61890.262443681815,61890.262443681815,0.0
2024-03-05,14,61935.322860681816,61935.322860681816,61935.322860681816,61935.322860681816,0.0
2024-03-05,15,61935.322860681816,61935.322860681816,61935.322860681816,61935.322860681816,0.0
2024-03-05,16,61935.322860681816,61935.322860681816,61935.322860681816,61935.322860681816,0.0
2024-03-05,17,61935.322860681816,61935.322860681816,61935.322860681816,61935.322860681816,0.0
2024-03-05,18,61890.262443681815,61890.262443681815,61890.262443681815,61890.262443681815,0.0
2024-03-05,19,61890.262443681815,61890.262443681815,61890.262443681815,61890.262443681815,0.0
2024-03-05,20,61890.262443681815,61890.262443681815,61890.262443681815,61890.262443681815,0.0
2024-03-05,21,61845.20202668183,61845.202026681814,61845.202026681814,61845.202026681814,0.0
2024-03-05,22,61845.20202668183,61845.202026681814,61845.202026681814,61845.202026681814,0.0
2024-03-05,23,61845.20202668183,61845.202026681814,61845.202026681814,61845.202026681814,0.0
2024-03-05,24,61845.20202668183,61845.202026681814,61845.202026681814,61845.202026681814,0.0
2024-05-16,1,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-05-16,2,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-05-16,3,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-05-16,4,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-05-16,5,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-05-16,6,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-05-16,7,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-05-16,8,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-05-16,9,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-05-16,10,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
2024-05-16,11,29128.120595833334,29128.120595833334,29128.120595833334,29128.120595833334,0.0
