date,iteration,mae,rmse,mean_model,mean_actual
2024-01-23,1,107838.38084947919,109180.20038303302,54617.869150520826,162456.25
2024-01-23,2,100820.35456037504,102652.47598345664,61635.89543962501,162456.25
2024-01-23,3,99761.53051142236,101747.39007475699,62694.719488577655,162456.25
2024-01-23,4,99761.53051142236,101747.39007475699,62694.719488577655,162456.25
2024-01-23,5,99761.53051142236,101747.39007475699,62694.719488577655,162456.25
2024-01-23,6,99761.53051142236,101747.39007475699,62694.719488577655,162456.25
2024-01-23,7,99761.53051142236,101747.39007475699,62694.719488577655,162456.25
2024-01-23,8,99761.53051142236,101747.39007475699,62694.719488577655,162456.25
2024-01-23,9,99761.53051142236,101747.39007475699,62694.719488577655,162456.25
2024-01-23,10,99761.53051142236,101747.39007475699,62694.719488577655,162456.25
2024-01-23,11,99761.53051142236,101747.39007475699,62694.719488577655,162456.25
2024-01-23,12,99761.53051142236,101747.39007475699,62694.719488577655,162456.25
2024-01-23,13,99761.53051142236,101747.39007475699,62694.719488577655,162456.25
2024-01-23,14,99761.53051142236,101747.39007475699,62694.719488577655,162456.25
2024-01-23,15,99761.53051142236,101747.39007475699,62694.719488577655,162456.25
2024-02-12,1,59446.381079666666,61332.7345253829,29620.271754750007,85472.91666666667
2024-02-12,2,56474.10510174307,58657.053429569976,32256.737454895832,85472.91666666667
2024-02-12,3,56432.187633506954,58625.60382107388,32298.654923131937,85472.91666666667
2024-02-12,4,56432.187633506954,58625.60382107388,32298.654923131937,85472.91666666667
2024-02-12,5,56432.187633506954,58625.60382107388,32298.654923131937,85472.91666666667
2024-02-12,6,56432.187633506954,58625.60382107388,32298.654923131937,85472.91666666667
2024-02-12,7,56432.187633506954,58625.60382107388,32298.654923131937,85472.91666666667
2024-02-12,8,56432.187633506954,58625.60382107388,32298.654923131937,85472.91666666667
2024-02-12,9,56432.187633506954,58625.60382107388,32298.654923131937,85472.91666666667
2024-02-12,10,56432.187633506954,58625.60382107388,32298.654923131937,85472.91666666667
2024-02-12,11,56432.187633506954,58625.60382107388,32298.654923131937,85472.91666666667
2024-02-12,12,56432.187633506954,58625.60382107388,32298.654923131937,85472.91666666667
2024-02-12,13,56432.187633506954,58625.60382107388,32298.654923131937,85472.91666666667
2024-02-12,14,56432.187633506954,58625.60382107388,32298.654923131937,85472.91666666667
2024-02-12,15,56432.187633506954,58625.60382107388,32298.654923131937,85472.91666666667
2024-03-05,1,88643.16195233334,92068.3235707618,47341.421381000015,135984.58333333334
2024-03-05,2,79879.92098060416,83456.32459832846,56104.662352729174,135984.58333333334
2024-03-05,3,78465.50894599623,81919.09892406476,57519.0743873371,135984.58333333334
2024-03-05,4,78465.50894599623,81919.09892406476,57519.0743873371,135984.58333333334
2024-03-05,5,78465.50894599623,81919.09892406476,57519.0743873371,135984.58333333334
2024-03-05,6,78465.50894599623,81919.09892406476,57519.0743873371,135984.58333333334
2024-03-05,7,78465.50894599623,81919.09892406476,57519.0743873371,135984.58333333334
2024-03-05,8,78465.50894599623,81919.09892406476,57519.0743873371,135984.58333333334
2024-03-05,9,78465.50894599623,81919.09892406476,57519.0743873371,135984.58333333334
2024-03-05,10,78465.50894599623,81919.09892406476,57519.0743873371,135984.58333333334
2024-03-05,11,78465.50894599623,81919.09892406476,57519.0743873371,135984.58333333334
2024-03-05,12,78465.50894599623,81919.09892406476,57519.0743873371,135984.58333333334
2024-03-05,13,78465.50894599623,81919.09892406476,57519.0743873371,135984.58333333334
2024-03-05,14,78465.50894599623,81919.09892406476,57519.0743873371,135984.58333333334
2024-03-05,15,78465.50894599623,81919.09892406476,57519.0743873371,135984.58333333334
2024-05-16,1,90324.61301170832,92387.49504287764,33763.303654958334,124087.91666666667
2024-05-16,2,86051.30523665975,88465.67169252703,38036.61143000695,124087.91666666667
2024-05-16,3,86000.1523954514,88423.3383639084,38087.76427121528,124087.91666666667
2024-05-16,4,86000.1523954514,88423.3383639084,38087.76427121528,124087.91666666667
2024-05-16,5,86000.1523954514,88423.3383639084,38087.76427121528,124087.91666666667
2024-05-16,6,86000.1523954514,88423.3383639084,38087.76427121528,124087.91666666667
2024-05-16,7,86000.1523954514,88423.3383639084,38087.76427121528,124087.91666666667
2024-05-16,8,86000.1523954514,88423.3383639084,38087.76427121528,124087.91666666667
2024-05-16,9,86000.1523954514,88423.3383639084,38087.76427121528,124087.91666666667
2024-05-16,10,86000.1523954514,88423.3383639084,38087.76427121528,124087.91666666667
